IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
R_contains_nicotine,Cheapest breand of e-liquid contains nicotine or not,text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2022,true,Tobacco and nicotine product,Cheapest brand of e-liquid of an open ENDS/ENNDS system (10ml),TOBACCO_NICOTINE_PRODUCT_ELIQUID_OPEN_CHEAPEST,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_contains_nicotine,Cheapest breand of e-liquid contains nicotine or not,text,AFR,Africa,Country,DZA,Algeria,Year,2022,true,Tobacco and nicotine product,Cheapest brand of e-liquid of an open ENDS/ENNDS system (10ml),TOBACCO_NICOTINE_PRODUCT_ELIQUID_OPEN_CHEAPEST,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_contains_nicotine,Cheapest breand of e-liquid contains nicotine or not,text,EUR,Europe,Country,AND,Andorra,Year,2022,true,Tobacco and nicotine product,Cheapest brand of e-liquid of an open ENDS/ENNDS system (10ml),TOBACCO_NICOTINE_PRODUCT_ELIQUID_OPEN_CHEAPEST,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_contains_nicotine,Cheapest breand of e-liquid contains nicotine or not,text,AFR,Africa,Country,AGO,Angola,Year,2022,true,Tobacco and nicotine product,Cheapest brand of e-liquid of an open ENDS/ENNDS system (10ml),TOBACCO_NICOTINE_PRODUCT_ELIQUID_OPEN_CHEAPEST,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_contains_nicotine,Cheapest breand of e-liquid contains nicotine or not,text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2022,true,Tobacco and nicotine product,Cheapest brand of e-liquid of an open ENDS/ENNDS system (10ml),TOBACCO_NICOTINE_PRODUCT_ELIQUID_OPEN_CHEAPEST,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_contains_nicotine,Cheapest breand of e-liquid contains nicotine or not,text,AMR,Americas,Country,ARG,Argentina,Year,2022,true,Tobacco and nicotine product,Cheapest brand of e-liquid of an open ENDS/ENNDS system (10ml),TOBACCO_NICOTINE_PRODUCT_ELIQUID_OPEN_CHEAPEST,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_contains_nicotine,Cheapest breand of e-liquid contains nicotine or not,text,EUR,Europe,Country,ARM,Armenia,Year,2022,true,Tobacco and nicotine product,Cheapest brand of e-liquid of an open ENDS/ENNDS system (10ml),TOBACCO_NICOTINE_PRODUCT_ELIQUID_OPEN_CHEAPEST,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_contains_nicotine,Cheapest breand of e-liquid contains nicotine or not,text,WPR,Western Pacific,Country,AUS,Australia,Year,2022,true,Tobacco and nicotine product,Cheapest brand of e-liquid of an open ENDS/ENNDS system (10ml),TOBACCO_NICOTINE_PRODUCT_ELIQUID_OPEN_CHEAPEST,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_contains_nicotine,Cheapest breand of e-liquid contains nicotine or not,text,AMR,Americas,Country,BHS,Bahamas,Year,2022,true,Tobacco and nicotine product,Cheapest brand of e-liquid of an open ENDS/ENNDS system (10ml),TOBACCO_NICOTINE_PRODUCT_ELIQUID_OPEN_CHEAPEST,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
R_contains_nicotine,Cheapest breand of e-liquid contains nicotine or not,text,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2022,true,Tobacco and nicotine product,Cheapest brand of e-liquid of an open ENDS/ENNDS system (10ml),TOBACCO_NICOTINE_PRODUCT_ELIQUID_OPEN_CHEAPEST,,,,,,,,,,,,,,,,,,,EN,2024-01-11T23:00:00.000Z
