Region,Location,yr_law,yr_fb50,gap_years,product
Western Pacific,Vanuatu,2007,2014.0,7.0,osm
Western Pacific,Viet Nam,2012,2012.0,0.0,osm
Africa,Benin,2007,2022.0,15.0,sml
Africa,Burkina Faso,2007,2012.0,5.0,sml
Africa,Burundi,2018,2018.0,0.0,sml
Africa,Cabo Verde,2022,2022.0,0.0,sml
Africa,Cameroon,2007,2007.0,0.0,sml
Africa,Chad,2007,2010.0,3.0,sml
Africa,Cote d'Ivoire,2007,2022.0,15.0,sml
Africa,Democratic Republic of the Congo,2018,2018.0,0.0,sml
Africa,Eswatini,2014,2014.0,0.0,sml
Africa,Ethiopia,2014,2020.0,6.0,sml
Africa,Ghana,2010,2012.0,2.0,sml
Africa,Madagascar,2007,2010.0,3.0,sml
Africa,Mauritania,2018,2018.0,0.0,sml
Africa,Namibia,2010,2014.0,4.0,sml
Africa,Nigeria,2016,2016.0,0.0,sml
Africa,Senegal,2007,2016.0,9.0,sml
Africa,Seychelles,2010,2010.0,0.0,sml
Africa,Togo,2010,2010.0,0.0,sml
Americas,Antigua and Barbuda,2018,2018.0,0.0,sml
Americas,Argentina,2012,2012.0,0.0,sml
Americas,Barbados,2018,2018.0,0.0,sml
Americas,Bolivia (Plurinational State of),2020,2020.0,0.0,sml
Americas,Canada,2010,2010.0,0.0,sml
Americas,Chile,2007,2007.0,0.0,sml
Americas,Costa Rica,2012,2012.0,0.0,sml
Americas,Ecuador,2007,2012.0,5.0,sml
Americas,El Salvador,2007,2016.0,9.0,sml
Americas,Guyana,2018,2018.0,0.0,sml
Americas,Honduras,2007,2010.0,3.0,sml
Americas,Jamaica,2014,2014.0,0.0,sml
Americas,Nicaragua,2007,2010.0,3.0,sml
Americas,Panama,2007,2007.0,0.0,sml
Americas,Peru,2007,2010.0,3.0,sml
Americas,Saint Lucia,2018,2018.0,0.0,sml
Americas,Suriname,2014,2014.0,0.0,sml
Americas,Trinidad and Tobago,2010,2014.0,4.0,sml
Americas,Uruguay,2007,2007.0,0.0,sml
Eastern Mediterranean,Afghanistan,2016,2016.0,0.0,sml
Eastern Mediterranean,Djibouti,2007,2007.0,0.0,sml
Eastern Mediterranean,Egypt,2007,2007.0,0.0,sml
Eastern Mediterranean,Iran (Islamic Republic of),2007,2007.0,0.0,sml
Eastern Mediterranean,Kuwait,2012,2012.0,0.0,sml
Eastern Mediterranean,Qatar,2007,2012.0,5.0,sml
Eastern Mediterranean,Sudan,2007,2022.0,15.0,sml
Eastern Mediterranean,Tunisia,2007,2022.0,15.0,sml
Eastern Mediterranean,United Arab Emirates,2010,2012.0,2.0,sml
Eastern Mediterranean,Yemen,2007,2012.0,5.0,sml
Europe,Albania,2007,2008.0,1.0,sml
Europe,Israel,2007,2020.0,13.0,sml
Europe,Kyrgyzstan,2007,2022.0,15.0,sml
Europe,Tajikistan,2010,2018.0,8.0,sml
Europe,Türkiye,2007,2012.0,5.0,sml
Europe,Ukraine,2007,2010.0,3.0,sml
South-East Asia,Bangladesh,2014,2014.0,0.0,sml
South-East Asia,India,2007,2016.0,9.0,sml
South-East Asia,Maldives,2007,2020.0,13.0,sml
South-East Asia,Myanmar,2016,2016.0,0.0,sml
South-East Asia,Nepal,2010,2012.0,2.0,sml
South-East Asia,Timor-Leste,2016,2016.0,0.0,sml
Western Pacific,Brunei Darussalam,2007,2007.0,0.0,sml
Western Pacific,Cambodia,2016,2016.0,0.0,sml
Western Pacific,Cook Islands,2007,2008.0,1.0,sml
Western Pacific,Japan,2007,2020.0,13.0,sml
Western Pacific,Kiribati,2014,2016.0,2.0,sml
Western Pacific,New Zealand,2007,2018.0,11.0,sml
Western Pacific,Papua New Guinea,2007,2018.0,11.0,sml
Western Pacific,Philippines,2007,2014.0,7.0,sml
Western Pacific,Republic of Korea,2014,2016.0,2.0,sml
Western Pacific,Singapore,2007,2007.0,0.0,sml
Western Pacific,Solomon Islands,2010,2014.0,4.0,sml
Western Pacific,Tonga,2007,2007.0,0.0,sml
Western Pacific,Viet Nam,2012,2012.0,0.0,sml
