Region,graphic,rotation,principal_languages,font_spec,front_back_pct,best_practice_cig,smokeless_law
Africa,0.4473684210526316,0.631578947368421,0.7631578947368421,0.5526315789473685,0.48936170212765956,0.3404255319148936,0.7659574468085106
Americas,0.7333333333333333,0.9,0.9666666666666667,0.9333333333333333,0.6285714285714286,0.5714285714285714,0.7714285714285715
Eastern Mediterranean,0.6666666666666666,0.7619047619047619,0.9047619047619048,0.6666666666666666,0.5909090909090909,0.5,0.8636363636363636
Europe,0.9387755102040817,0.9795918367346939,1.0,0.9795918367346939,0.7924528301886793,0.7735849056603774,0.8301886792452831
South-East Asia,0.8181818181818182,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.7272727272727273,0.6363636363636364,1.0
Western Pacific,0.6,0.96,0.88,0.8,0.7777777777777778,0.5555555555555556,0.8518518518518519
